Zachos Time delta_18O(Myr BP),Zachos Time delta_18O(0/00),Time delta_18O(Myr BP),Time delta_18O(0/00),Tdo(C),Ts(C),SL(m)
5.912,3.26,5.9116,3.196,1.14,16.29,2.2
5.912,3.34,5.913,3.168,1.22,16.37,3.3
5.914,3.01,5.9142,3.14,1.29,16.44,4.4
5.916,2.96,5.9156,3.116,1.36,16.51,5.4
5.917,3.13,5.9176,3.082,1.45,16.6,6.7
5.919,3.14,5.9192,3.014,1.63,16.78,9.4
5.922,3.17,5.9208,3.058,1.51,16.66,7.7
5.922,2.67,5.9228,3.062,1.5,16.65,7.5
5.924,3.18,5.9246,2.994,1.68,16.83,10.2
5.927,3.15,5.9258,2.944,1.82,16.97,12.2
5.928,2.8,5.927,2.988,1.7,16.85,10.5
5.928,2.92,5.928,2.998,1.67,16.82,10.1
5.928,2.89,5.929,3.018,1.62,16.77,9.3
5.929,3.23,5.9299,3.022,1.61,16.76,9.1
5.932,3.25,5.9309,3.052,1.53,16.68,7.9
5.9326,2.82,5.9321,3.112,1.37,16.52,5.5
5.933,3.07,5.9337,3.07,1.48,16.63,7.2
5.934,3.19,5.9347,3.004,1.66,16.81,9.8
5.937,3.02,5.936,3.082,1.45,16.6,6.7
5.937,2.92,5.9378,3.12,1.35,16.5,5.2
5.939,3.21,5.9394,3.024,1.6,16.75,9
5.942,3.26,5.9408,3.006,1.65,16.8,9.8
5.942,2.71,5.9428,3.012,1.63,16.78,9.5
5.944,2.93,5.9448,2.95,1.8,16.95,12
5.947,2.95,5.9464,2.884,1.98,17.13,14.6
5.949,2.9,5.9482,2.962,1.77,16.92,11.5
5.95,2.93,5.9498,3.118,1.35,16.5,5.3
5.951,3.1,5.951,3.12,1.35,16.5,5.2
5.952,3.71,5.9522,3.136,1.3,16.45,4.6
5.953,2.96,5.9532,3.188,1.17,16.32,2.5
5.9548,2.98,5.9544,3.16,1.24,16.39,3.6
5.955,3.19,5.9556,3.014,1.63,16.78,9.4
5.957,2.96,5.957,3.018,1.62,16.77,9.3
5.958,2.98,5.9586,3.04,1.56,16.71,8.4
5.96,2.98,5.9603,3.042,1.55,16.7,8.3
5.963,3.09,5.9621,3.054,1.52,16.67,7.8
5.9636,3.2,5.9639,3.082,1.45,16.6,6.7
5.966,3.02,5.9655,3.104,1.39,16.54,5.8
5.967,3.12,5.9671,3.11,1.37,16.52,5.6
5.968,3.09,5.969,3.116,1.36,16.51,5.4
5.971,3.12,5.9708,3.106,1.38,16.53,5.8
5.973,3.23,5.9727,3.032,1.58,16.73,8.7
5.975,2.97,5.9745,3,1.67,16.82,10
5.9766,2.75,5.9759,2.994,1.68,16.83,10.2
5.977,2.93,5.9771,2.978,1.73,16.88,10.9
5.978,3.09,5.9783,3.008,1.65,16.8,9.7
5.979,3.15,5.9794,3.074,1.47,16.62,7
5.981,3.12,5.9804,3.092,1.42,16.57,6.3
5.982,3.08,5.9818,3.022,1.61,16.76,9.1
5.982,3.02,5.9836,2.926,1.86,17.01,13
5.985,2.74,5.9854,2.876,2,17.15,15
5.988,2.67,5.987,2.864,2.03,17.18,15.4
5.99,2.87,5.9886,2.764,2.3,17.45,19.4
5.99,3.02,5.9898,2.844,2.08,17.23,16.2
5.99,2.52,5.9906,2.918,1.89,17.04,13.3
5.991,3.14,5.9914,2.98,1.72,16.87,10.8
5.992,3.04,5.9922,3.046,1.54,16.69,8.2
5.994,3.18,5.9932,3.176,1.2,16.35,3
5.994,3.35,5.994,3.194,1.15,16.3,2.2
5.995,3.17,5.9952,3.172,1.21,16.36,3.1
5.995,3.23,5.996,3.098,1.41,16.56,6.1
5.998,2.93,5.9972,2.962,1.77,16.92,11.5
5.998,2.81,5.9986,2.974,1.74,16.89,11
6,2.67,6,2.924,1.87,17.02,13
6.002,3.23,6.001,2.924,1.87,17.02,13
6.002,2.98,6.0022,2.962,1.77,16.92,11.5
6.003,2.93,6.0032,3.03,1.59,16.74,8.8
6.004,3,6.004,3.022,1.61,16.76,9.1
6.005,3.01,6.005,3.036,1.57,16.72,8.6
6.006,3.19,6.0058,3.046,1.54,16.69,8.2
6.007,3.05,6.0065,3.028,1.59,16.74,8.9
6.007,2.98,6.0073,3.05,1.53,16.68,8
6.0076,2.91,6.0081,2.994,1.68,16.83,10.2
6.009,3.12,6.0091,2.976,1.73,16.88,11
6.01,2.91,6.0103,2.94,1.83,16.98,12.4
6.012,2.96,6.0118,2.918,1.89,17.04,13.3
6.013,2.8,6.0132,2.892,1.95,17.1,14.3
6.015,2.8,6.0148,2.852,2.06,17.21,15.9
6.016,2.99,6.016,2.884,1.98,17.13,14.6
6.0178,2.71,6.0172,2.95,1.8,16.95,12
6.018,3.12,6.018,2.926,1.86,17.01,13
6.019,3.13,6.019,2.95,1.8,16.95,12
6.019,2.68,6.0198,3.018,1.62,16.77,9.3
6.021,3.11,6.0206,3.012,1.63,16.78,9.5
6.022,3.05,6.0214,2.994,1.68,16.83,10.2
6.022,3.09,6.0224,3.09,1.43,16.58,6.4
6.023,3.04,6.0232,3.062,1.5,16.65,7.5
6.024,3.16,6.0238,3.05,1.53,16.68,8
6.025,2.97,6.0244,3.068,1.49,16.64,7.3
6.025,2.99,6.0249,3.038,1.57,16.72,8.5
6.0252,3.18,6.0251,2.906,1.92,17.07,13.8
6.0252,2.89,6.0253,2.866,2.02,17.17,15.4
6.0252,2.5,6.0259,2.87,2.01,17.16,15.2
6.026,2.77,6.0267,2.826,2.13,17.28,17
6.028,3.01,6.0276,2.838,2.1,17.25,16.5
6.029,2.96,6.0288,2.978,1.73,16.88,10.9
6.03,2.95,6.03,3.044,1.55,16.7,8.2
6.031,3.2,6.031,3.038,1.57,16.72,8.5
6.032,3.1,6.0322,3.068,1.49,16.64,7.3
6.033,2.98,6.0334,3.028,1.59,16.74,8.9
6.035,3.11,6.0348,3.006,1.65,16.8,9.8
6.036,2.75,6.036,2.97,1.75,16.9,11.2
6.038,3.09,6.0372,3.018,1.62,16.77,9.3
6.038,2.92,6.0382,2.968,1.75,16.9,11.3
6.039,3.22,6.0392,2.99,1.69,16.84,10.4
6.04,2.86,6.0402,2.956,1.78,16.93,11.8
6.041,2.86,6.0414,3.04,1.56,16.71,8.4
6.043,2.92,6.0428,3.038,1.57,16.72,8.5
6.044,3.34,6.044,3.062,1.5,16.65,7.5
6.046,3.21,6.0454,3.112,1.37,16.52,5.5
6.046,2.98,6.0466,3.108,1.38,16.53,5.7
6.048,3.11,6.048,3.04,1.56,16.71,8.4
6.049,2.9,6.049,3.024,1.6,16.75,9
6.051,3,6.0502,3.064,1.5,16.65,7.4
6.051,3.13,6.0514,3.062,1.5,16.65,7.5
6.052,3.18,6.0524,3.034,1.58,16.73,8.6
6.054,3.1,6.0532,3.022,1.61,16.76,9.1
6.054,2.76,6.0542,2.968,1.75,16.9,11.3
6.055,2.94,6.0552,2.87,2.01,17.16,15.2
6.056,2.86,6.056,2.81,2.17,17.32,17.6
6.057,2.69,6.057,2.802,2.19,17.34,17.9
6.058,2.8,6.058,2.728,2.39,17.54,20.9
6.059,2.72,6.0588,2.678,2.53,17.68,22.9
6.06,2.57,6.0596,2.714,2.43,17.58,21.4
6.06,2.61,6.0604,2.766,2.29,17.44,19.4
6.061,2.87,6.0614,2.796,2.21,17.36,18.2
6.062,3.06,6.0626,2.846,2.08,17.23,16.2
6.064,2.87,6.064,2.922,1.87,17.02,13.1
6.066,2.82,6.0656,2.9,1.93,17.08,14
6.067,2.99,6.0672,2.888,1.97,17.12,14.5
6.0692,2.76,6.0686,2.902,1.93,17.08,13.9
6.07,3,6.0696,2.916,1.89,17.04,13.4
6.071,2.94,6.0706,2.872,2.01,17.16,15.1
6.071,2.89,6.0714,2.862,2.03,17.18,15.5
6.072,2.77,6.0722,2.782,2.25,17.4,18.7
6.073,2.71,6.0728,2.76,2.31,17.46,19.6
6.0738,2.6,6.0736,2.722,2.41,17.56,21.1
6.074,2.83,6.0742,2.75,2.33,17.48,20
6.075,2.7,6.0746,2.84,2.09,17.24,16.4
6.075,2.91,6.0752,2.852,2.06,17.21,15.9
6.075,3.16,6.0762,2.844,2.08,17.23,16.2
6.077,2.66,6.0772,2.942,1.82,16.97,12.3
6.079,2.79,6.0788,2.974,1.74,16.89,11
6.08,3.19,6.0808,2.918,1.89,17.04,13.3
6.083,3.07,6.0824,3.01,1.64,16.79,9.6
6.085,2.88,6.084,3.058,1.51,16.66,7.7
6.085,3.12,6.0856,3.03,1.59,16.74,8.8
6.087,3.03,6.0868,3.04,1.56,16.71,8.4
6.088,3.05,6.0878,3.004,1.66,16.81,9.8
6.089,3.12,6.0888,2.992,1.69,16.84,10.3
6.09,2.7,6.0898,2.974,1.74,16.89,11
6.09,3.06,6.0906,2.998,1.67,16.82,10.1
6.092,2.94,6.0916,2.922,1.87,17.02,13.1
6.0922,3.17,6.0926,2.98,1.72,16.87,10.8
6.094,2.74,6.0942,2.944,1.82,16.97,12.2
6.095,2.99,6.0956,2.964,1.76,16.91,11.4
6.098,2.88,6.097,2.908,1.91,17.06,13.7
6.099,3.04,6.0984,2.942,1.82,16.97,12.3
6.099,2.89,6.1,2.944,1.82,16.97,12.2
6.101,2.91,6.1012,2.95,1.8,16.95,12
6.103,3,6.1022,3.014,1.63,16.78,9.4
6.104,2.91,6.1034,2.974,1.74,16.89,11
6.104,3.36,6.1044,2.988,1.7,16.85,10.5
6.105,2.69,6.1056,2.994,1.68,16.83,10.2
6.106,2.98,6.1066,2.93,1.85,17,12.8
6.109,3.03,6.1082,2.858,2.05,17.2,15.7
6.109,2.59,6.11,2.908,1.91,17.06,13.7
6.112,3,6.1118,2.916,1.89,17.04,13.4
6.114,2.94,6.1136,2.89,1.96,17.11,14.4
6.115,3.02,6.1156,2.924,1.87,17.02,13
6.118,2.9,6.117,2.934,1.84,16.99,12.6
6.119,2.76,6.1184,2.944,1.82,16.97,12.2
6.119,3.05,6.1199,2.882,1.98,17.13,14.7
6.121,2.99,6.1209,2.896,1.94,17.09,14.2
6.1224,2.71,6.1217,2.946,1.81,16.96,12.2
6.123,2.97,6.1227,2.95,1.8,16.95,12
6.123,3.01,6.1235,2.994,1.68,16.83,10.2
6.124,3.07,6.1246,3.14,1.29,16.44,4.4
6.125,3.21,6.126,3.122,1.34,16.49,5.1
6.128,3.44,6.1276,3.088,1.43,16.58,6.5
6.13,2.88,6.1294,3.154,1.26,16.41,3.8
6.131,2.84,6.1314,3.096,1.41,16.56,6.2
6.133,3.4,6.133,3.066,1.49,16.64,7.4
6.1348,2.92,6.1342,3.086,1.44,16.59,6.6
6.136,3.29,6.1364,3.08,1.45,16.6,6.8
6.136,2.98,6.1394,2.924,1.87,17.02,13
6.142,2.81,6.1422,2.91,1.91,17.06,13.6
6.148,2.62,6.1456,2.838,2.1,17.25,16.5
6.149,2.85,6.1502,2.85,2.07,17.22,16
6.153,2.93,6.1546,2.814,2.16,17.31,17.4
6.159,3.04,6.158,2.802,2.19,17.34,17.9
6.1642,2.63,6.1612,2.814,2.16,17.31,17.4
6.165,2.56,6.1648,2.782,2.25,17.4,18.7
6.165,2.91,6.169,2.676,2.53,17.68,23
6.171,2.77,6.1727,2.672,2.54,17.69,23.1
6.18,2.51,6.1763,2.668,2.55,17.7,23.3
6.1823,2.61,6.1811,2.554,2.86,18.01,27.8
6.183,2.54,6.1859,2.576,2.8,17.95,27
6.189,2.34,6.1897,2.712,2.43,17.58,21.5
6.195,2.88,6.1938,2.736,2.37,17.52,20.6
6.199,3.19,6.1994,2.778,2.26,17.41,18.9
6.203,2.73,6.2046,2.864,2.03,17.18,15.4
6.211,2.75,6.2092,2.736,2.37,17.52,20.6
6.215,2.77,6.2134,2.742,2.35,17.5,20.3
6.218,2.24,6.217,2.712,2.43,17.58,21.5
6.2199,3.22,6.2198,2.738,2.37,17.52,20.5
6.2211,2.58,6.223,2.702,2.46,17.61,21.9
6.225,2.88,6.2258,2.826,2.13,17.28,17
6.231,2.59,6.2306,2.788,2.23,17.38,18.5
6.232,2.86,6.236,2.81,2.17,17.32,17.6
6.244,3.03,6.2407,2.806,2.18,17.33,17.8
6.248,2.69,6.2445,2.88,1.99,17.14,14.8
6.2483,2.86,6.2493,2.918,1.89,17.04,13.3
6.25,2.96,6.2521,2.868,2.02,17.17,15.3
6.256,3.05,6.2544,2.868,2.02,17.17,15.3
6.258,2.78,6.2572,2.866,2.02,17.17,15.4
6.2599,2.69,6.2618,2.844,2.08,17.23,16.2
6.262,2.85,6.2654,2.804,2.19,17.34,17.8
6.273,2.85,6.2691,2.826,2.13,17.28,17
6.274,2.85,6.2729,2.846,2.08,17.23,16.2
6.2767,2.89,6.2775,2.932,1.85,17,12.7
6.279,2.79,6.2811,2.876,2,17.15,15
6.285,3.28,6.2845,2.908,1.91,17.06,13.7
6.291,2.57,6.2882,2.83,2.12,17.27,16.8
6.291,3.01,6.2926,2.802,2.19,17.34,17.9
6.295,2.5,6.2968,2.656,2.58,17.73,23.8
6.301,2.65,6.2998,2.712,2.43,17.58,21.5
6.306,2.55,6.3031,2.644,2.62,17.77,24.2
6.306,2.85,6.3065,2.7,2.47,17.62,22
6.3077,2.67,6.3097,2.716,2.42,17.57,21.4
6.312,2.78,6.3124,2.796,2.21,17.36,18.2
6.317,2.73,6.3162,2.786,2.24,17.39,18.6
6.3192,2.95,6.32,2.768,2.29,17.44,19.3
6.325,2.8,6.324,2.812,2.17,17.32,17.5
6.327,2.58,6.3273,2.888,1.97,17.12,14.5
6.332,3,6.3309,2.862,2.03,17.18,15.5
6.3334,3.11,6.3343,2.772,2.27,17.42,19.1
6.337,2.82,6.3373,2.836,2.1,17.25,16.6
6.342,2.35,6.3403,2.838,2.1,17.25,16.5
6.342,2.9,6.3438,2.694,2.48,17.63,22.2
6.347,3.01,6.347,2.69,2.49,17.64,22.4
6.3511,2.39,6.3502,2.794,2.22,17.37,18.2
6.353,2.8,6.3534,2.784,2.24,17.39,18.6
6.358,2.87,6.3557,2.716,2.42,17.57,21.4
6.358,2.85,6.3578,2.816,2.16,17.31,17.4
6.3582,2.67,6.3598,2.828,2.13,17.28,16.9
6.3618,2.89,6.362,2.818,2.15,17.3,17.3
6.363,2.86,6.3652,2.694,2.48,17.63,22.2
6.369,2.82,6.3688,2.722,2.41,17.56,21.1
6.374,2.23,6.3722,2.652,2.59,17.74,23.9
6.376,2.81,6.3764,2.618,2.69,17.84,25.3
6.379,2.54,6.3796,2.642,2.62,17.77,24.3
6.384,2.69,6.3848,2.802,2.19,17.34,17.9
6.385,2.94,6.3906,2.82,2.15,17.3,17.2
6.4,3.03,6.3961,2.918,1.89,17.04,13.3
6.405,2.9,6.4007,2.998,1.67,16.82,10.1
6.4067,3.03,6.4054,2.936,1.84,16.99,12.6
6.4067,3.09,6.4074,2.924,1.87,17.02,13
6.4087,2.63,6.4096,2.902,1.93,17.08,13.9
6.41,2.97,6.4119,2.888,1.97,17.12,14.5
6.416,2.79,6.4149,2.806,2.18,17.33,17.8
6.418,2.96,6.4186,2.902,1.93,17.08,13.9
6.422,2.68,6.4228,2.864,2.03,17.18,15.4
6.427,3.11,6.4262,2.894,1.95,17.1,14.2
6.431,2.78,6.4296,2.82,2.15,17.3,17.2
6.433,2.94,6.4332,2.842,2.09,17.24,16.3
6.435,2.59,6.4368,2.826,2.13,17.28,17
6.44,2.79,6.4406,2.87,2.01,17.16,15.2
6.445,3.03,6.444,2.848,2.07,17.22,16.1
6.45,3,6.448,2.906,1.92,17.07,13.8
6.45,2.83,6.4521,2.968,1.75,16.9,11.3
6.455,2.88,6.4551,2.984,1.71,16.86,10.6
6.4603,3.1,6.4572,2.966,1.76,16.91,11.4
6.4603,3.11,6.4594,2.972,1.74,16.89,11.1
6.4603,2.91,6.4616,2.85,2.07,17.22,16
6.461,2.86,6.4629,2.79,2.23,17.38,18.4
6.466,2.27,6.4651,2.6,2.73,17.88,26
6.467,2.8,6.4684,2.606,2.72,17.87,25.8
6.471,2.16,6.4721,2.544,2.88,18.03,28.2
6.477,2.94,6.4753,2.67,2.55,17.7,23.2
6.4795,2.55,6.4785,2.66,2.57,17.72,23.6
6.482,2.9,6.4817,2.788,2.23,17.38,18.5
6.483,2.75,6.4849,2.718,2.42,17.57,21.3
6.487,2.8,6.4886,2.764,2.3,17.45,19.4
6.493,2.59,6.4919,2.776,2.26,17.41,19
6.498,2.78,6.4955,2.832,2.11,17.26,16.7
6.4987,2.96,6.4989,2.846,2.08,17.23,16.2
6.501,3.03,6.5023,2.892,1.95,17.1,14.3
6.504,2.87,6.5061,2.868,2.02,17.17,15.3
6.51,2.82,6.5108,2.856,2.05,17.2,15.8
6.517,2.66,6.5158,2.792,2.22,17.37,18.3
6.522,2.9,6.5206,2.764,2.3,17.45,19.4
6.526,2.71,6.5246,2.728,2.39,17.54,20.9
6.528,2.73,6.5288,2.718,2.42,17.57,21.3
6.53,2.64,6.5328,2.676,2.53,17.68,23
6.538,2.61,6.5364,2.71,2.44,17.59,21.6
6.542,2.69,6.5397,2.822,2.14,17.29,17.1
6.544,2.88,6.5442,2.896,1.94,17.09,14.2
6.5447,3.29,6.5476,2.882,1.98,17.13,14.7
6.5523,3.01,6.5512,2.876,2,17.15,15
6.555,2.54,6.5544,2.878,1.99,17.14,14.9
6.56,2.66,6.5585,2.712,2.43,17.58,21.5
6.56,2.89,6.5632,2.678,2.53,17.68,22.9
6.565,2.46,6.5676,2.814,2.16,17.31,17.4
6.576,2.84,6.5713,2.828,2.13,17.28,16.9
6.577,3.22,6.5757,2.806,2.18,17.33,17.8
6.5787,2.73,6.5803,2.812,2.17,17.32,17.5
6.582,2.78,6.5837,2.786,2.24,17.39,18.6
6.588,2.49,6.5871,2.716,2.42,17.57,21.4
6.593,2.71,6.5904,2.748,2.34,17.49,20.1
6.594,2.87,6.5934,2.758,2.31,17.46,19.7
6.595,2.89,6.5962,2.822,2.14,17.29,17.1
6.597,2.83,6.599,2.792,2.22,17.37,18.3
6.602,2.81,6.6016,2.812,2.17,17.32,17.5
6.607,2.56,6.605,2.824,2.14,17.29,17
6.607,2.97,6.6088,2.858,2.05,17.2,15.7
6.612,2.95,6.612,2.884,1.98,17.13,14.6
6.616,3,6.6146,2.934,1.84,16.99,12.6
6.618,2.94,6.6177,2.874,2,17.15,15
6.62,2.81,6.6199,2.852,2.06,17.21,15.9
6.6225,2.67,6.6215,2.84,2.09,17.24,16.4
6.623,2.84,6.6233,2.834,2.11,17.26,16.6
6.624,2.94,6.6249,2.83,2.12,17.27,16.8
6.627,2.91,6.626,2.878,1.99,17.14,14.9
6.628,2.79,6.6272,2.922,1.87,17.02,13.1
6.628,2.91,6.6282,2.922,1.87,17.02,13.1
6.629,3.06,6.6292,2.904,1.92,17.07,13.8
6.629,2.94,6.63,2.956,1.78,16.93,11.8
6.632,2.82,6.6316,2.902,1.93,17.08,13.9
6.632,3.05,6.6332,2.832,2.11,17.26,16.7
6.636,2.64,6.6348,2.796,2.21,17.36,18.2
6.637,2.71,6.6366,2.83,2.12,17.27,16.8
6.637,2.76,6.639,2.834,2.11,17.26,16.6
6.641,2.99,6.641,2.904,1.92,17.07,13.8
6.644,3.07,6.6432,2.942,1.82,16.97,12.3
6.646,2.99,6.6464,2.948,1.81,16.96,12.1
6.648,2.9,6.6488,3.014,1.63,16.78,9.4
6.653,2.79,6.6506,3.004,1.66,16.81,9.8
6.653,3.32,6.6528,2.986,1.7,16.85,10.6
6.653,3.02,6.6556,2.976,1.73,16.88,11
6.657,2.9,6.6592,2.962,1.77,16.92,11.5
6.662,2.85,6.6628,2.84,2.09,17.24,16.4
6.671,2.72,6.6674,2.746,2.34,17.49,20.2
6.671,2.71,6.6722,2.736,2.37,17.52,20.6
6.676,2.55,6.676,2.746,2.34,17.49,20.2
6.681,2.85,6.6787,2.698,2.47,17.62,22.1
6.681,2.9,6.6817,2.688,2.5,17.65,22.5
6.6844,2.48,6.6839,2.766,2.29,17.44,19.4
6.686,2.66,6.6873,2.724,2.4,17.55,21
6.687,2.94,6.6919,2.682,2.51,17.66,22.7
6.698,2.64,6.6982,2.542,2.89,18.04,28.3
6.704,2.69,6.7052,2.572,2.81,17.96,27.1
6.716,1.78,6.7122,2.556,2.85,18,27.8
6.721,2.81,6.7182,2.586,2.77,17.92,26.6
6.722,2.86,6.7231,2.686,2.5,17.65,22.6
6.728,2.79,6.7265,2.898,1.94,17.09,14.1
6.7287,3.19,6.7301,2.886,1.97,17.12,14.6
6.733,2.84,6.7359,2.856,2.05,17.2,15.8
6.739,2.75,6.7419,2.838,2.1,17.25,16.5
6.751,2.71,6.749,2.812,2.17,17.32,17.5
6.758,2.7,6.7567,2.774,2.27,17.42,19
6.764,3.06,6.7633,2.776,2.26,17.41,19
6.7714,2.65,6.7685,2.782,2.25,17.4,18.7
6.772,2.76,6.7737,2.754,2.32,17.47,19.8
6.777,2.74,6.7809,2.734,2.38,17.53,20.6
6.784,2.56,6.7897,2.74,2.36,17.51,20.4
6.8,2.96,6.7999,2.712,2.43,17.58,21.5
6.8153,2.68,6.8126,2.798,2.21,17.36,18.1
6.823,2.62,6.8246,2.808,2.18,17.33,17.7
6.8406,3.17,6.8342,2.75,2.33,17.48,20
6.844,2.61,6.8415,2.752,2.33,17.48,19.9
6.848,2.67,6.8487,2.76,2.31,17.46,19.6
6.852,2.69,6.8528,2.658,2.58,17.73,23.7
6.8591,2.66,6.857,2.692,2.49,17.64,22.3
6.861,2.66,6.861,2.702,2.46,17.61,21.9
6.8648,2.78,6.8656,2.712,2.43,17.58,21.5
6.868,2.72,6.8702,2.7,2.47,17.62,22
6.875,2.74,6.8758,2.72,2.41,17.56,21.2
6.882,2.6,6.882,2.722,2.41,17.56,21.1
6.889,2.76,6.889,2.684,2.51,17.66,22.6
6.896,2.79,6.8946,2.652,2.59,17.74,23.9
6.9029,2.53,6.9012,2.636,2.64,17.79,24.6
6.903,2.58,6.9088,2.588,2.77,17.92,26.5
6.915,2.52,6.9162,2.608,2.71,17.86,25.7
6.927,2.52,6.9232,2.6,2.73,17.88,26
6.933,2.89,6.9314,2.632,2.65,17.8,24.7
6.938,2.49,6.9394,2.688,2.5,17.65,22.5
6.944,2.74,6.9472,2.682,2.51,17.66,22.7
6.955,2.8,6.9539,2.588,2.77,17.92,26.5
6.966,2.49,6.9605,2.634,2.64,17.79,24.6
6.9663,2.42,6.9685,2.646,2.61,17.76,24.2
6.971,2.72,6.9769,2.63,2.65,17.8,24.8
6.984,2.8,6.9841,2.638,2.63,17.78,24.5
6.997,2.72,6.9922,2.722,2.41,17.56,21.1
7.002,2.53,7.0004,2.748,2.34,17.49,20.1
7.007,2.84,7.0072,2.678,2.53,17.68,22.9
7.012,2.85,7.0122,2.752,2.33,17.48,19.9
7.0178,2.45,7.0204,2.748,2.34,17.49,20.1
7.022,3.09,7.0288,2.706,2.45,17.6,21.8
7.043,2.51,7.0372,2.678,2.53,17.68,22.9
7.049,2.63,7.0456,2.7,2.47,17.62,22
7.054,2.71,7.0542,2.646,2.61,17.76,24.2
7.06,2.56,7.0606,2.64,2.63,17.78,24.4
7.065,2.82,7.067,2.734,2.38,17.53,20.6
7.075,2.48,7.0726,2.822,2.14,17.29,17.1
7.081,3.1,7.0772,2.926,1.86,17.01,13
7.082,3.15,7.081,2.862,2.03,17.18,15.5
7.083,3.08,7.0828,2.968,1.75,16.9,11.3
7.0838,2.5,7.0838,2.962,1.77,16.92,11.5
7.084,3.01,7.0848,2.868,2.02,17.17,15.3
7.086,3.07,7.0856,2.744,2.35,17.5,20.2
7.087,2.68,7.0864,2.854,2.06,17.21,15.8
7.087,2.46,7.0874,2.812,2.17,17.32,17.5
7.088,3.05,7.0882,2.772,2.27,17.42,19.1
7.089,2.8,7.0892,2.79,2.23,17.38,18.4
7.09,2.87,7.0906,2.842,2.09,17.24,16.3
7.092,2.77,7.092,2.8,2.2,17.35,18
7.094,2.72,7.0932,2.796,2.21,17.36,18.2
7.095,2.84,7.0946,2.786,2.24,17.39,18.6
7.095,2.78,7.096,2.814,2.16,17.31,17.4
7.097,2.82,7.0974,2.9,1.93,17.08,14
7.099,2.91,7.099,2.94,1.83,16.98,12.4
7.101,3.15,7.1006,2.918,1.89,17.04,13.3
7.103,3.04,7.1022,2.986,1.7,16.85,10.6
7.103,2.67,7.1038,3.006,1.65,16.8,9.8
7.105,3.16,7.1054,2.948,1.81,16.96,12.1
7.107,3.01,7.1068,2.916,1.89,17.04,13.4
7.109,2.86,7.1086,2.956,1.78,16.93,11.8
7.11,2.88,7.1106,2.924,1.87,17.02,13
7.112,2.87,7.1124,2.892,1.95,17.1,14.3
7.115,3,7.1142,2.886,1.97,17.12,14.6
7.116,2.85,7.1162,2.874,2,17.15,15
7.118,2.83,7.1182,2.852,2.06,17.21,15.9
7.12,2.82,7.12,2.844,2.08,17.23,16.2
7.122,2.76,7.1217,2.832,2.11,17.26,16.7
7.124,2.96,7.1235,2.888,1.97,17.12,14.5
7.1246,2.79,7.1251,2.95,1.8,16.95,12
7.127,3.11,7.1267,3.056,1.52,16.67,7.8
7.128,3.13,7.1283,3.12,1.35,16.5,5.2
7.13,3.29,7.1302,3.172,1.21,16.36,3.1
7.132,3.28,7.132,3.1,1.4,16.55,6
7.134,3.05,7.134,3.064,1.5,16.65,7.4
7.136,2.75,7.136,2.966,1.76,16.91,11.4
7.138,2.95,7.138,2.918,1.89,17.04,13.3
7.14,2.8,7.1402,2.91,1.91,17.06,13.6
7.142,3.04,7.1424,2.964,1.76,16.91,11.4
7.145,3.01,7.1446,3.006,1.65,16.8,9.8
7.147,3.02,7.1468,3.06,1.51,16.66,7.6
7.149,3.16,7.149,3.094,1.42,16.57,6.2
7.151,3.07,7.151,3.094,1.42,16.57,6.2
7.153,3.21,7.1528,3.028,1.59,16.74,8.9
7.155,3.01,7.1544,3.016,1.62,16.77,9.4
7.156,2.69,7.156,3.036,1.57,16.72,8.6
7.157,3.1,7.1576,3.016,1.62,16.77,9.4
7.159,3.17,7.1592,3.034,1.58,16.73,8.6
7.161,3.11,7.161,3.072,1.47,16.62,7.1
7.163,3.1,7.1626,2.998,1.67,16.82,10.1
7.165,2.88,7.1642,2.958,1.78,16.93,11.7
7.165,2.73,7.1658,2.906,1.92,17.07,13.8
7.167,2.97,7.1676,2.83,2.12,17.27,16.8
7.169,2.85,7.1698,2.792,2.22,17.37,18.3
7.172,2.72,7.1746,2.784,2.24,17.39,18.6
7.1762,2.69,7.1796,2.728,2.39,17.54,20.9
7.189,2.69,7.1856,2.678,2.53,17.68,22.9
7.1916,2.69,7.1926,2.638,2.63,17.78,24.5
7.199,2.6,7.1991,2.638,2.63,17.78,24.5
7.2071,2.52,7.2053,2.67,2.55,17.7,23.2
7.209,2.69,7.2131,2.614,2.7,17.85,25.4
7.22,2.85,7.2233,2.602,2.73,17.88,25.9
7.2303,2.41,7.2326,2.572,2.81,17.96,27.1
7.25,2.54,7.2428,2.574,2.8,17.95,27
7.2535,2.37,7.251,2.648,2.61,17.76,24.1
7.26,2.7,7.2586,2.736,2.37,17.52,20.6
7.2614,3.22,7.2639,2.724,2.4,17.55,21
7.268,2.85,7.2686,2.732,2.38,17.53,20.7
7.2767,2.48,7.2736,2.668,2.55,17.7,23.3
7.277,2.41,7.2801,2.546,2.88,18.03,28.2
7.285,2.38,7.2865,2.454,3.12,18.27,31.8
7.294,2.61,7.2916,2.43,3.19,18.34,32.8
7.2998,2.39,7.2982,2.452,3.13,18.28,31.9
7.302,2.36,7.3042,2.528,2.93,18.08,28.9
7.31,2.52,7.3106,2.5,3,18.15,30
7.315,2.76,7.3168,2.538,2.9,18.05,28.5
7.326,2.47,7.3235,2.556,2.85,18,27.8
7.331,2.58,7.3287,2.612,2.7,17.85,25.5
7.3354,2.45,7.3341,2.646,2.61,17.76,24.2
